Data,Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
Sivaganga,3,0.005453840197903841,0.07342663758425033,0.051454162570758036,0.034256133161331095,0.7791664464523016,0.7773849777228379
Sivaganga,4,0.00564633347087685,0.07463643935443955,0.05021939095987669,0.032206037790990544,0.7708554406838793,0.7689071088128925
Sivaganga,5,0.005948718795752272,0.07658804821002037,0.050771760443319394,0.03221838238684466,0.7586907770481488,0.7566798428207929
Sivaganga,6,0.006466561527738607,0.07981236537956118,0.05216442422553219,0.031906559688250305,0.7374989306988253,0.735276315249695
Sivaganga,7,0.006953411924462788,0.08275028881864366,0.05380081622700846,0.03253558018407197,0.7188153100543105,0.7164210939830178
Thanjavur,2,0.006380179339326188,0.07926484139294394,0.05498714650167859,0.039319156254434176,0.7341379011405121,0.731351506293753
Thanjavur,3,0.005461927454706718,0.0731437941179213,0.04828133583673055,0.030424362954345648,0.7734336867266585,0.7710402380344877
Thanjavur,4,0.0054052888599062906,0.07269435096396086,0.04636301253776317,0.02761675401119791,0.7757101401505925,0.7735946119986267
Thanjavur,5,0.0054678975047436,0.07311338452644865,0.04622739941975742,0.02760905865782437,0.7716364378339274,0.7693952343210845
Thanjavur,6,0.005974406944508512,0.07645099064685587,0.047785529275547065,0.02761583569937825,0.750442069139299,0.7478995678767244
Thanjavur,7,0.006552472465066029,0.08006556393650284,0.049628802629550245,0.028444222824106906,0.7263087764023689,0.7230982169575323
Theni,2,0.006247974074454023,0.0779078615999503,0.05109495977188707,0.030757056849968423,0.6771124147790466,0.6739052256691349
Theni,3,0.005831112645509151,0.07527069307489706,0.047122886133910316,0.02848310141464971,0.6980217047026559,0.6948883247976814
Theni,4,0.006120183609137241,0.07702995009664082,0.046416220660352475,0.02706205587291975,0.6808101925656694,0.6776007747646946
Theni,5,0.007157998313220781,0.08299060120860606,0.04776639289008181,0.027208219628363936,0.6257339295973697,0.6222342513096387
Theni,6,0.007998641444618721,0.08790228795209835,0.049536082169797116,0.02707812761915905,0.5799307210332114,0.5764310801010532
Theni,7,0.008933925602994653,0.0931297331815556,0.05186428889172565,0.02774123066683346,0.5285058208185645,0.5241591423815459
The Nilgiris,2,0.004137487288232076,0.06320559619936619,0.03828637211196524,0.019292349895108116,0.7492778551937339,0.7473906039443957
The Nilgiris,3,0.003578438142282185,0.058264276884031775,0.030869251718712437,0.013768848002420397,0.7857604279964333,0.7842283957132516
The Nilgiris,4,0.0033207924744971147,0.055812277899509884,0.02796159828226759,0.011654309382858975,0.8031120012852224,0.8017649547871107
The Nilgiris,5,0.0035898403891707763,0.05815980948482099,0.02808504965995451,0.011050619901674781,0.7842972320158583,0.7824912742432544
The Nilgiris,6,0.003840143713108866,0.06029698314854673,0.028796533705627146,0.010860333675312049,0.7681252882283474,0.7658298194508142
The Nilgiris,7,0.0042080301048178555,0.06358262241614816,0.02996730298781003,0.010985603541641466,0.7425158592138839,0.7397712449946335
Thiruvallur,2,0.007505703592005686,0.08583767129929519,0.05682826165083804,0.030850900646395542,0.7227089570601976,0.7195654541365193
Thiruvallur,3,0.006028259728998612,0.07693174707734891,0.048407291274386074,0.02691634695436111,0.7745622036878176,0.7721857903909419
Thiruvallur,4,0.00490633218998662,0.0693178828285528,0.042274066848782425,0.022547759567456437,0.8162734915161352,0.8138991494039352
Thiruvallur,5,0.005030692180303193,0.07021411062058495,0.0423882352462903,0.022861133410913576,0.8099549024248782,0.807481055378593
Thiruvallur,6,0.005188000412572415,0.07132237861814636,0.04263224722697994,0.022864285975105966,0.8039292848310283,0.8012734959669509
Thiruvallur,7,0.005542387659942424,0.07361170342837703,0.04373254920691718,0.023588156631247206,0.7914486135832042,0.7888395679449006
Thiruvarur,2,0.007170015960215038,0.08427047380518887,0.058360258126459195,0.037718095445966056,0.6936786788895788,0.6912532949791597
Thiruvarur,3,0.006176670688650807,0.07811989737146718,0.05164359461543361,0.031923047195532996,0.7365664132982485,0.7344067296784597
Thiruvarur,4,0.005811316637447435,0.07574627183296342,0.04914945524272978,0.03066932871301036,0.7519341287390113,0.7498557369503128
Thiruvarur,5,0.005992846099502761,0.07695442803097562,0.04986360806485388,0.03055246700140969,0.7427879405071703,0.7408117501622812
Thiruvarur,6,0.006463792457419364,0.07986472750913909,0.05106785843525639,0.03049140660157039,0.7231908660516507,0.7210521623189333
Thiruvarur,7,0.007126981000692751,0.08381518009201398,0.053026353447059436,0.030911991371630348,0.6946123572456755,0.6922460679408338
Thoothukkudi,2,0.010326123294935097,0.10111695835747936,0.07395673700380763,0.053780523494829674,0.5881028257421071,0.5843869406299018
Thoothukkudi,3,0.009385059239745417,0.09635339291835873,0.06769082812125876,0.04826318703279189,0.625930301906279,0.6230999344246783
Thoothukkudi,4,0.00885802263741967,0.09339575632625513,0.06483295927253388,0.04585173584784756,0.6484487723043985,0.64587208056171
Thoothukkudi,5,0.009042058863531483,0.09442708136330669,0.06365597910396896,0.04236236518276029,0.6397588000748349,0.63703914893505
Thoothukkudi,6,0.009822407872597538,0.09834259397732653,0.06474734298128816,0.04106915517916604,0.6077977563905265,0.6050308954294246
Thoothukkudi,7,0.010610336246998246,0.1022391265479755,0.0670783983628763,0.04191832641837458,0.5753198321702834,0.5721334494719019
Tiruchirapalli,2,0.008064635291783542,0.08943930444715466,0.0662672822081517,0.04665137054315307,0.6898799191997409,0.6864475419027746
Tiruchirapalli,3,0.006612850797979967,0.08094449557169948,0.05803764369501949,0.041769774891126155,0.7450664697471603,0.7425267560742651
Tiruchirapalli,4,0.006649512008157614,0.08116116478653326,0.05630553667623292,0.039848007525006335,0.7434644884790544,0.7409618885390931
Tiruchirapalli,5,0.006702943793938086,0.08146143226297148,0.055844552744252186,0.038338992950790275,0.7411770046907097,0.7388816580491617
Tiruchirapalli,6,0.007148726317639449,0.08403222647332337,0.05704704359764781,0.03896127848112345,0.7240672709015576,0.7215292328501364
Tiruchirapalli,7,0.007699857458842344,0.08730014434033018,0.059200394880266224,0.03977788609903616,0.7019697365365534,0.6995254286849221
Tirunelveli,2,0.010214721832651036,0.10057208405714117,0.07174943880692973,0.04854348586255282,0.5996468205387254,0.596878958478698
Tirunelveli,3,0.009722986858466268,0.09808781427465306,0.06686828759943245,0.04310662454794621,0.6183264296524491,0.6155850426387665
Tirunelveli,4,0.009898805494144567,0.09890790285186724,0.06479021144723379,0.04095799384875403,0.6117369300581003,0.6091849007928759
Tirunelveli,5,0.010341585300379829,0.10084751370502941,0.06501576348336012,0.03929159748704803,0.5935662737227119,0.5906503964374998
Tirunelveli,6,0.011172188223085211,0.1048540852235087,0.06638702866204832,0.04060599752218294,0.5609601342324991,0.5576896937532165
Tirunelveli,7,0.012240831662672353,0.10963358547224761,0.06943531569339263,0.04185044819301654,0.5192057717829622,0.5153951431326218
Tiruvannamalai,2,0.009230261442868998,0.09560585799035662,0.06525009260766498,0.03935072821942584,0.7235099312339573,0.7210538961035142
Tiruvannamalai,3,0.0076043642658075615,0.08676347667924433,0.056317414209578365,0.03462564370179291,0.7724353247370072,0.770423989935385
Tiruvannamalai,4,0.006184515859562592,0.07824741842402157,0.049812037698119864,0.029435288176457616,0.8147835138537799,0.8130890721899994
Tiruvannamalai,5,0.005968841582260926,0.07682252872565255,0.048906782678878144,0.028530296187893017,0.8207033381873847,0.8191226347627776
Tiruvannamalai,6,0.006570698909071176,0.08050397467315021,0.050617556593982746,0.028280730311245422,0.801898988902656,0.800218782479883
Tiruvannamalai,7,0.007299736129678379,0.08486616820708949,0.05342847520452412,0.03020371874575465,0.7792534944865741,0.7774471145307521
Vellore,2,0.009071866151258346,0.09463257391089254,0.06731115460136092,0.04124052680344815,0.7324380567830052,0.7301285866437568
Vellore,3,0.007936412880798781,0.08853551367153692,0.059687222142294445,0.03776563411310635,0.7653756404986324,0.7633589263861497
Vellore,4,0.007457882698188392,0.08587250200905855,0.056432283257802036,0.035195964811913914,0.7784996094331589,0.776819909020682
Vellore,5,0.007919311218383454,0.08848513217154462,0.05717772603390464,0.03401843043374179,0.7643952834945877,0.7625831000878914
Vellore,6,0.00844200778747945,0.09138265242562023,0.05864999385206872,0.03314690432079805,0.7486943457378764,0.7467938545489737
Vellore,7,0.009175778325703743,0.09520950537834921,0.060733458861379604,0.03410270717657495,0.7261122175715312,0.7245509728485919
Viluppuram,2,0.005820200396894337,0.0758443420306501,0.05339874434067315,0.03649022982385198,0.8188048639107929,0.8165422933374918
Viluppuram,3,0.0039820910493386106,0.06261194360653367,0.041053870397858024,0.025164583952044794,0.8764475972988452,0.8748908948282761
Viluppuram,4,0.003086152291536742,0.05507838451363836,0.036104444954039694,0.02298033808912502,0.9039016505113153,0.9028191828438569
Viluppuram,5,0.0028520802529266405,0.05298244919574379,0.034027326774189466,0.021426371484802156,0.9106285976482036,0.9096784436790698
Viluppuram,6,0.0028776387304139876,0.053151875329518684,0.03352512800438505,0.020634890239930127,0.910041454695322,0.9090908591596824
Viluppuram,7,0.003021610684151551,0.054484142404382985,0.03413960033342401,0.020477752837861903,0.9056521570366776,0.9046619366322004
Virudhunagar,2,0.010918186156464092,0.10381269816516031,0.07205851232547847,0.04791656651139909,0.5585543996727321,0.5550402346279291
Virudhunagar,3,0.010013454001740267,0.09925468614624089,0.06685241049565388,0.04574299774668652,0.5963450378735922,0.5927837080388422
Virudhunagar,4,0.01045024258176652,0.10127464160398036,0.06608585504809703,0.04290189666237653,0.5801307775565003,0.5769704932499683
Virudhunagar,5,0.01100264723198716,0.1037016507875595,0.06616510879667417,0.04117345262714033,0.5589982154918736,0.555636617483186
Virudhunagar,6,0.01196982760437319,0.10831371189223656,0.06807795056144339,0.04217082852925022,0.5165698956667453,0.5125810246968125
Virudhunagar,7,0.013060502153418448,0.11305408356684103,0.07087286736721501,0.04280582603455414,0.47262274833246515,0.46753277711119373
