Data,Kernel,MSE,RMSE,MAE,MDAE,EVS,R2
Sivaganga,sigmoid,0.006575081026809407,0.0781229934514415,0.0573831228795779,0.04370064479603894,0.7386891630117839,0.7303624056256003
Thanjavur,linear,0.0052150562617103505,0.07172789144861173,0.050714267099170846,0.03620169228794887,0.7847769941278877,0.7809723822558279
Thanjavur,poly,0.009140645760205098,0.09484337532920663,0.0689249799003553,0.055195377078162605,0.6270091012836971,0.6193216042187835
Thanjavur,rbf,0.005127375662866203,0.07115225169810953,0.0516617320463308,0.04049617327602597,0.7920824412122475,0.7842539857153328
Thanjavur,sigmoid,0.16752357929893683,0.4082960497523728,0.30883300248772166,0.23379239545442998,-6.095816430185347,-6.253540465148225
Theni,linear,0.006130740551874387,0.07734716866559632,0.057935650876223904,0.0506167775368818,0.7149482940962375,0.6788388732183632
Theni,poly,0.00795000616172799,0.08847281883716666,0.06993370976702087,0.06604209416576694,0.6213623724176778,0.5792949356274046
Theni,rbf,0.006437647984669967,0.07933485796419441,0.060355375700160294,0.05446724862723518,0.7042798888191721,0.6624152664480788
Theni,sigmoid,0.007473688677210902,0.08177826376113696,0.05751693848907483,0.04465328345479686,0.6201598866638416,0.6053124525487733
The Nilgiris,linear,0.003270980526064364,0.056009692326214305,0.036193833214141304,0.026167479527811538,0.8056537512354732,0.8025338951409308
The Nilgiris,poly,0.005816052953951905,0.0755583366570811,0.06004557548545745,0.06000619083438851,0.7413794377357434,0.638728204733477
The Nilgiris,rbf,0.0035427957726348615,0.05826360178254661,0.038066971972189674,0.02933649744079091,0.7912376124170503,0.7868249797280917
The Nilgiris,sigmoid,0.004613641934166309,0.06690917276793142,0.048448091884803084,0.04191277833884319,0.7232075334577452,0.718636359092369
Thiruvallur,linear,0.005398745026060847,0.07307675632152212,0.0542401685514941,0.04597105673262662,0.8022533576456151,0.7974203068574023
Thiruvallur,poly,0.011571347193636242,0.10651370675204824,0.07401877832268809,0.05864718313495816,0.5803871342768315,0.5753394047024103
Thiruvallur,rbf,0.004350109501041855,0.06559667864148422,0.047415504157765645,0.03811164094458058,0.83882791221925,0.8366612275109852
Thiruvallur,sigmoid,0.2688729783214823,0.5165068569738304,0.3675763105231649,0.2569324588540231,-9.064419439444409,-9.374058947619666
Thiruvarur,linear,0.006065885261724594,0.07739002925254435,0.0546918191278438,0.03806502682367285,0.7433273582110286,0.7411933572624863
Thiruvarur,poly,0.010226437006074071,0.10013683900161979,0.07169019045916103,0.057451868483499535,0.5814334536176164,0.5718004022939416
Thiruvarur,rbf,0.005630163080680257,0.07459889039989107,0.05458675712206751,0.04131689404637166,0.7695594065252191,0.7587316443244992
Thiruvarur,sigmoid,0.193141786503497,0.43852903133266674,0.3316530353047705,0.2520184724033658,-7.317884551522012,-7.540218373005533
Thoothukkudi,linear,0.008187072202029693,0.08999416451841849,0.0656857853846634,0.04907786497070752,0.6788598822626519,0.673158233922624
Thoothukkudi,poly,0.01240310460519092,0.11091935715346299,0.08471213777377526,0.07160633131325442,0.5125437837643578,0.5072032859427865
Thoothukkudi,rbf,0.008241295464945593,0.09032269053529199,0.06766292284477406,0.053141103036734055,0.6823488503700542,0.671318499845315
Thoothukkudi,sigmoid,0.03427559281723931,0.18446551621961593,0.1402851261910521,0.11502886251411024,-0.37008891937181704,-0.38701866685721326
Tiruchirapalli,linear,0.006065207571178021,0.07764097481484719,0.058127557755328185,0.04436228671064344,0.7674951319261051,0.762695512755282
Tiruchirapalli,poly,0.009519815508813756,0.09720604054297713,0.07632059801052463,0.06725161718180525,0.6372410534289482,0.6298802622773306
Tiruchirapalli,rbf,0.006192646242863421,0.07845801447636923,0.05994766748454031,0.048776567071897245,0.7687115415468068,0.7578252599944102
Tiruchirapalli,sigmoid,0.18025781727677306,0.4194067398465733,0.3176561378009933,0.24968771353578745,-5.852574523684383,-6.169017757961303
Tirunelveli,linear,0.008533492689145843,0.09171936046249356,0.06484765298159277,0.04699263048569206,0.6719222579447708,0.6643716838882398
Tirunelveli,poly,0.011845613576323313,0.10829743458154141,0.0828468359877607,0.07118326462692529,0.5411130995954736,0.5336628386104386
Tirunelveli,rbf,0.008501596126340463,0.09155731119369186,0.06556997131195595,0.048691076506250965,0.6749948917512592,0.6662601507606198
Tirunelveli,sigmoid,0.03612608629570848,0.18940990460045135,0.14619076132330244,0.12291636399135644,-0.4306199899571837,-0.44908585063870776
Tiruvannamalai,linear,0.006424600419205799,0.07968081020943052,0.058414787276435655,0.04556197348124799,0.8103769035520856,0.8072545877329281
Tiruvannamalai,poly,0.012141606780464545,0.10933129541065761,0.07818156787853288,0.06491274803957284,0.6427086933330024,0.6385440660026063
Tiruvannamalai,rbf,0.005456430802571378,0.07339592282837275,0.052311849963967455,0.03792018215397247,0.8380771276862213,0.8364291445621204
Tiruvannamalai,sigmoid,0.31756368931303136,0.5622269614375941,0.41362498079116317,0.3071993845199615,-8.581786814747675,-8.769676843829487
Vellore,linear,0.008112090465981157,0.08961311995880998,0.06576155694088355,0.050834175962349716,0.7628920110451943,0.7584105434534518
Vellore,poly,0.012887425838947841,0.11283185899146432,0.08391983553848543,0.07074793653319512,0.6224443636893973,0.6183017968428149
Vellore,rbf,0.0073491938055589715,0.08529653959678654,0.061146919224423224,0.044891548861561,0.7826982194779905,0.7812542862408268
Vellore,sigmoid,0.355876643788849,0.595485348447044,0.442913391452654,0.3360172876871881,-9.672797822893076,-9.871282837533847
Viluppuram,linear,0.0036054569631394345,0.05985669686288426,0.04631039747108844,0.03779860147818001,0.8874745023007481,0.8859433618080037
Viluppuram,poly,0.00930897673888776,0.0958623612955967,0.06797037606378262,0.05411400503376001,0.7132177108165288,0.7094318939418008
Viluppuram,rbf,0.0027777368391980915,0.05242565037919713,0.038323559131659274,0.029075413753292718,0.9134893630421128,0.9124822763345831
Viluppuram,sigmoid,0.27982260700095773,0.5277389975562926,0.3866661514275072,0.27873377441522657,-7.776489726175047,-7.983264383127586
Virudhunagar,linear,0.009439897901491762,0.09641944358874012,0.07127968287921695,0.05751635169602043,0.6317318952116177,0.6158497748959532
Virudhunagar,poly,0.013572721582461329,0.11594046978227981,0.08909589719787041,0.07794014953397971,0.4551639877646197,0.44736162376669886
Virudhunagar,rbf,0.009768767782580982,0.09810372259319385,0.07377844571146942,0.06163446587381657,0.6236938022589799,0.6031819839711438
Virudhunagar,sigmoid,0.033606936522030985,0.1781891139149754,0.13341182113432695,0.10536167911375299,-0.3822474138056293,-0.406818196639054
