Data,Model,Degree,MSE,RMSE,MAE,MDAE,EVS,R2
Thiruvarur,Poly,2,0.004842691,0.068946674,0.046449359,0.030190908,0.792888961,0.790861106
Thiruvarur,Poly,3,0.00561009,0.074215528,0.050203308,0.033007203,0.759092232,0.756752004
Thiruvarur,Poly,4,0.065104756,0.20054764,0.096863024,0.05593826,-1.751735976,-1.773373515
Thiruvarur,Poly,5,7926.998613,38.24058741,8.239237198,1.472789875,-374626.5963,-377975.8682
Thoothukkudi,Poly,2,0.008554628,0.091856244,0.066355762,0.049942638,0.659633471,0.656918871
Thoothukkudi,Poly,3,0.009584565,0.097138225,0.066782252,0.045619681,0.618030588,0.614281072
Thoothukkudi,Poly,4,0.149527914,0.33431271,0.146062572,0.073552768,-5.366825978,-5.431444325
Thoothukkudi,Poly,5,6718.2902,65.03616462,15.95928672,2.136160341,-275332.4824,-277714.5859
Tiruchirapalli,Poly,2,0.005672173,0.075027529,0.054101211,0.037830762,0.781803141,0.779477301
Tiruchirapalli,Poly,3,0.008407052,0.089146157,0.061499339,0.04285312,0.679492653,0.675692675
Tiruchirapalli,Poly,4,0.027523498,0.162101473,0.09896814,0.062354006,-0.078989196,-0.089305808
Tiruchirapalli,Poly,5,861.9353137,26.84352878,9.381432262,1.8687661,-33590.49887,-33989.00337
Tirunelveli,Poly,2,0.008253404,0.089956767,0.06034927,0.040725368,0.678159852,0.675088836
Tirunelveli,Poly,3,0.010439601,0.101260512,0.067637719,0.043979892,0.592189123,0.588057903
Tirunelveli,Poly,4,0.105604674,0.295746583,0.134289603,0.067676284,-3.3394528,-3.374475617
Tirunelveli,Poly,5,63464.28613,178.9045279,42.52749411,5.590232533,-2662460.893,-2685765.937
Tiruvannamalai,Poly,2,0.00487923,0.069512646,0.046699004,0.029526928,0.853235344,0.851864978
Tiruvannamalai,Poly,3,0.005468822,0.073614795,0.049707069,0.031198051,0.835232103,0.833728231
Tiruvannamalai,Poly,4,0.036235724,0.18270675,0.107235247,0.063075358,-0.097350209,-0.11094755
Tiruvannamalai,Poly,5,367.6168084,17.73303654,6.356243991,1.490832014,-11289.27377,-11423.15208
Vellore,Poly,2,0.008906071,0.09353292,0.067314415,0.047828698,0.733836925,0.731344245
Vellore,Poly,3,0.007714656,0.087387962,0.06105253,0.040257598,0.769622596,0.76759684
Vellore,Poly,4,0.043230696,0.197180344,0.112945239,0.064862527,-0.314032946,-0.32663046
Vellore,Poly,5,626.720072,22.47298708,7.427291753,1.59604693,-19432.38217,-19635.59919
Viluppuram,Poly,2,0.001984407,0.044197909,0.030086874,0.01963583,0.938750256,0.938043505
Viluppuram,Poly,3,0.002260122,0.046851502,0.031212427,0.019840929,0.930529931,0.929820068
Viluppuram,Poly,4,0.010069811,0.097050507,0.056203714,0.032420363,0.685730057,0.682994305
Viluppuram,Poly,5,22.83044039,4.375829266,1.578952395,0.435284669,-729.4642937,-736.2449449
Virudhunagar,Poly,2,0.008547637,0.091426353,0.060126209,0.039830581,0.655618576,0.65266967
Virudhunagar,Poly,3,0.009808403,0.098012091,0.064352288,0.040616285,0.60350306,0.600042219
Virudhunagar,Poly,4,0.084388822,0.276006118,0.135327211,0.070356018,-2.465591206,-2.497248675
Virudhunagar,Poly,5,1866.130504,34.98481416,9.5199248,1.402661682,-77835.69361,-78510.54129
All Districts,DTR,2,0.000979712,0.031258429,0.019190542,0.01109827,0.673068216,0.672986543
All Districts,DTR,3,0.000742587,0.027222608,0.016007812,0.00912997,0.751839182,0.751781025
All Districts,DTR,4,0.000670538,0.025866879,0.014936778,0.008332109,0.775887897,0.775829412
All Districts,DTR,5,0.000639365,0.025259172,0.01447716,0.008055924,0.786244339,0.786190809
All Districts,DTR,6,0.000634789,0.02516354,0.014246718,0.00790419,0.787775489,0.787718572
All Districts,DTR,7,0.000648538,0.025423429,0.014189262,0.007894835,0.783341643,0.783286062
Cluster 0,DTR,2,0.005565693,0.074493292,0.053364255,0.036341015,0.67285652,0.672200748
Cluster 0,DTR,3,0.004773302,0.068980612,0.047828,0.032546953,0.719273029,0.718710979
Cluster 0,DTR,4,0.004663518,0.068176673,0.046284303,0.030873751,0.725688368,0.725115764
