District,MSE - District,MSE - Cluster,MSE - Generic,RMSE - District,RMSE - Cluster,RMSE - Generic,MAE - District,MAE - Cluster,MAE - Generic,MDAE - District,MDAE - Cluster,MDAE - Generic,EVS - District,EVS - Cluster,EVS - Generic,R2 - District,R2 - Cluster,R2 - Generic
Salem,0.007142459733702096,0.00111852701884503,0.00016262647401742527,0.08397130052067757,0.033261304559901915,0.012682625839654665,0.059337530301962725,0.022907159565234068,0.008678637235074978,0.03943831553384735,0.014909985413671596,0.00545843626477111,0.7982361360407709,0.840580123778509,0.8288858702390891,0.7963090931089916,0.8390741251006189,0.827381536559367
Thiruvallur,0.004632268025124643,0.001598547591584872,0.00024573956026328783,0.0673900002707251,0.03958844311091453,0.015531740187231793,0.04857009255183893,0.025347199831254375,0.00981105416454775,0.03569487303645442,0.014488325303242866,0.005610826826844708,0.8243207444853666,0.9043095365563619,0.8909036605504411,0.8226905233133596,0.9034960328194148,0.8900655957678272
Viluppuram,0.001966326219314505,0.0005047910704132739,7.510302320010693e-05,0.044079756321628104,0.02231983971485421,0.008613146049270513,0.029790265530675705,0.014764478853197873,0.00565482511648524,0.019281823300890226,0.008951483881684773,0.003410952200463097,0.9386075453137191,0.9567655032683274,0.95210452206691,0.9380593884727046,0.9564724425666158,0.9516797765076543
Coimbatore,0.003544020652316282,0.0009193405055189416,0.0008843525820230048,0.05902991595249427,0.030112377693042636,0.0295185273266088,0.03851385215431624,0.01932602246641154,0.018679833128917044,0.023152715258393304,0.011236854678619911,0.01071631702966372,0.863575029938046,0.8846661398239788,0.8887711835349618,0.8624516136099543,0.8839177691700401,0.8880379909342488
Madurai,0.007039226604046113,0.0008047191244163343,0.0008113476033033671,0.08274074588691142,0.027961472091612302,0.02802996579904253,0.054635601781307386,0.018283902692436918,0.01799628309738125,0.03484367978898308,0.01150460206818036,0.011037067570840971,0.6421343902571273,0.6847272743131811,0.68218718554077,0.6389576516857223,0.6813512599368318,0.6796717763619337
Ramanathapuram,0.0060751082619638465,0.0003274570431681946,0.00032819804882541596,0.07760616714676047,0.01796586539576871,0.018009927144168828,0.05421434410087609,0.01224635608334748,0.012000565070075296,0.03803497598268055,0.008088731428892102,0.00758892401483045,0.7631346610565869,0.8117083088289934,0.8103135708405986,0.7610132154406309,0.8099957652814619,0.8091999282431653
Theni,0.005090278105680348,0.0017646601395951047,0.001747984838206598,0.07027257299239188,0.041204424273335566,0.0411046915625282,0.04329619832350521,0.024821267616035012,0.02449860994268527,0.026002838358419444,0.014491007553207013,0.013752520218164097,0.7352705858494809,0.7667640480521672,0.7679397084890861,0.7329075569546775,0.7647846786453469,0.7663643872536925
The Nilgiris,0.0024888538739135596,0.002007692789132279,0.0019317178451853764,0.04864713987315628,0.04357144052092793,0.04278026596723933,0.02529335405968574,0.022376925171429488,0.021388477896556325,0.011553091295626584,0.00989932040443736,0.00851375621389703,0.8494105433918974,0.8785057278951715,0.8817003913586438,0.8483413398804426,0.8773857063747438,0.8809273540807456
Virudhunagar,0.008751586352234757,0.000726320241543741,0.0007355883233446507,0.09273322646276823,0.02663475304197994,0.026853570399291118,0.062141450601833646,0.017596136393204766,0.017479434335490096,0.041739523547002,0.011450727793248567,0.011174808053506648,0.6458874416222625,0.6990963812715885,0.6933572308059702,0.6422597160990512,0.6967833080141165,0.6906725053584399
Tirunelveli,0.008242919711383093,0.007467515319227149,0.0005282586496106315,0.09003196491664354,0.08561481472257043,0.022766972329003477,0.06114973603626468,0.05772544008302967,0.015394326314942032,0.04073353024374272,0.03883815815697738,0.010025187540003613,0.6776897496532976,0.7093938096611113,0.73739852673463,0.6736188365583767,0.7069180578763499,0.7348414161175262
Nagapattinam,0.003240978141552123,0.002434030223505977,0.0002321225499210285,0.05628650766798825,0.048917365494215576,0.015088063658743706,0.03778448336450469,0.03239457577879076,0.01007204368661421,0.0247376452186713,0.020398286592832857,0.006462471482354479,0.8670613369256164,0.8862098154444822,0.8874674603507918,0.8658227749585258,0.8853275860244391,0.8866242547656097
Pudukkottai,0.003960008772003338,0.0019058353754111109,0.00018974371606935784,0.06253130815358038,0.043406686216490166,0.01370325092221385,0.04247086368268297,0.0291633966071069,0.009174396415037471,0.027523185472037307,0.018030840189384514,0.005658784039685422,0.8380915525531972,0.857927041524198,0.8532002422686219,0.8367914338553465,0.856749498090609,0.8522521320555948
Sivaganga,0.004757071251070482,0.002377724382170362,0.0002350267207583028,0.06862572709929349,0.04848052031410825,0.01524988567834077,0.048286926590408986,0.03366289599312207,0.010462126100928242,0.0333472945576813,0.022001315650091443,0.00685548533317469,0.8038354511518421,0.8321091496620312,0.8254134676601633,0.8020505436212026,0.8306273934278399,0.8238663429056651
Thanjavur,0.004380533531543396,0.002362915401651391,0.00022650649565340576,0.06562688522042626,0.048277405137923945,0.014913560452832462,0.043954241208043844,0.031986114780426005,0.00978764277082877,0.028016147383292864,0.019760703532156903,0.005961742951532788,0.8166519956778282,0.844623750072231,0.8452654174013723,0.8151902884109099,0.8434203599925225,0.8441742890717954
Thiruvarur,0.005449204549561762,0.00410423252315066,0.0003961902871481747,0.07328446871814279,0.06358564093833842,0.01980349268346882,0.05138897921864115,0.042608720673391616,0.01318082626437949,0.03589615494491494,0.026623632625433057,0.008125956179363623,0.7617240681542228,0.8242031115426223,0.8196481197932863,0.759791304849548,0.8223990555904611,0.8180573066992137
Tiruchirapalli,0.006284927729754577,0.0021129352557435737,0.0002071544562977104,0.07865435017243447,0.045816667271327126,0.01432748049928132,0.05756026382928252,0.03261115585844817,0.010144128689063132,0.04160120641367701,0.02269649002409154,0.0069347041575886625,0.7559278673804748,0.8033799156365928,0.8021954748929558,0.752843490671971,0.8018641560044257,0.7999750321731467
Dharmapuri,0.0055746771963902505,0.003235517521201881,0.00015715070285665948,0.07436500308842493,0.05660058158764618,0.012472502556668496,0.05301493047237274,0.038170415320903414,0.008397021159790099,0.03631299193697797,0.022968824822146804,0.005048706963222372,0.7909230706871898,0.8504396763610444,0.8448273060748314,0.789358274825841,0.8492734649224025,0.843860655901871
Tiruvannamalai,0.005449326644483043,0.003983337319325883,0.00019756075154755262,0.07349063462513258,0.06276230794955616,0.013961771815529198,0.05230626184757163,0.04160553799313358,0.009124638620338809,0.037927690964001705,0.02509218443397484,0.005343009258712843,0.8365840899602515,0.8790399210314184,0.8729545690762518,0.8352221682429949,0.8779629104722738,0.8720199343151404
Vellore,0.007359648841504007,0.004870894563190557,0.00023629878531160797,0.08539367053412876,0.06955354136905116,0.015301737666722437,0.06116862720703963,0.04666490000903671,0.010206907970980473,0.04478016478013151,0.027177631311293873,0.005934085780978695,0.783301311647246,0.839560743000456,0.8343479728982216,0.7816883329394693,0.8385088230879664,0.8332345492964051
